CodigoOriginal;DescOriginal;SituacaoOriginal;UnOriginal;TipologiaOriginal;PrensadoOriginal;Dimensao;Nome Mae;Acabamento Superficie;Unidade Pai;Polo;Item Fundo;PrensadoFundo;SituacaoFundo;UnidadePaiFundo;PoloFundo;ClonesLista;PrensadoRevisado;Validado;UnidadePaiNorm;DimensaoNorm;AcabamentoNorm
602973;XXXXXXXXXXXXXXXXX;FP;m2;Sem Tipologia;Nao;;XXXXXXXXXXXXXXXXX;;Eliane Parana;ELIANE PR;8025181;Nao;FP;SC 3;Mohawk (SC);[];Nao;True;ELIANEPARANA;;
1404849;TESTE;FP;m2;BIQUEIMA;Nao;20x20;TESTE;ACETINADO;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;20X20;ACETINADO
1403826;JUNTAPLUS EPOXI SP-100 CHUMBO 5,4kg*P/ME;FP;um;OUTRA;Nao;REJUNTE;JUNTAPLUS EPOXI SP-100 CHUMBO 5,4kg*P/ME;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;REJUNTE;
8008174;"S 4289-ANDORRA WHITE-2""X8""";FP;pc;MONOPOROSA;Nao;5x20;S 4289-ANDORRA WHITE;BRILHANTE;Pecas Especiais;Mohawk (SC);;;;;;[];Nao;True;PECASESPECIAIS;5X20;BRILHANTE
315990;CLASSIC WHITE RODAPE 31;FP;pc;MONOQUEIMA;Nao;7,5X31;CLASSIC WHITE RODAPE 31;;SC 3;Mohawk (SC);315915;Nao;FP;SC 3;Mohawk (SC);[];Nao;True;SC3;7.5X31;
161454;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;FP;pc;Sem Tipologia;Nao;1,5x20;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;;Pecas Especiais;Mohawk (SC);;;;;;[];Nao;True;PECASESPECIAIS;1.5X20;
8008607;ESSENCE ROSSO RS 50;FP;pc;PORC UGL;Nao;14,5X50;ESSENCE ROSSO RS;ACETINADO;SC 4;Mohawk (SC);469297;Nao;FP;SC 4;Mohawk (SC);[];Nao;True;SC4;14.5X50;ACETINADO
8024775;BETON GLASS LISTELLO;FP;pc;OUTRA;Nao;4x10;BETON GLASS LISTELLO;BRILHANTE;BACK TO BACK;Mohawk (SC);;;;;;[];Nao;True;BACKTOBACK;4X10;BRILHANTE
8024776;MOSAICO GEO-GLASS BISCOTTO;FP;pc;OUTRA;Nao;4x10;MOSAICO GEO-GLASS BISCOTTO;BRILHANTE;BACK TO BACK;Mohawk (SC);;;;;;[];Nao;True;BACKTOBACK;4X10;BRILHANTE
8024774;MOSAICO GEO-GLASS CHIARO;FP;pc;OUTRA;Nao;4x10;MOSAICO GEO-GLASS CHIARO;BRILHANTE;BACK TO BACK;Mohawk (SC);;;;;;[];Nao;True;BACKTOBACK;4X10;BRILHANTE
