Emp;Uni;Item;Descricao;Sit;Marca;Emp_Clone;Uni_Clone;Item_Clone;Descricao_Clone;Sit_Clone;Marca_Clone;
01;  1; 170674;EXPOSITOR SERIE FUOCO P/ ME             ;LB;Eliane         ;01;  1; 180378;EXPOSITOR SERIE FUOCO                   ;FP;Eliane         ;
01;  1; 170682;EXPOSITOR SERIE TERRA P/ ME             ;LB;Eliane         ;01;  1; 180386;EXPOSITOR SERIE TERRA                   ;FP;Eliane         ;
01;  1; 174726;BRANCO PISCINA 20X20                    ;FP;Eliane         ;01;  1; 186023;BRANCO PISCINA 20X20**                  ;FP;Eliane         ;
01;  1; 174726;BRANCO PISCINA 20X20                    ;FP;Eliane         ;01;  1; 192104;FUNDO BRANCO PISCINA 20X20-S/ENG.-EST.RT;FP;Eliane         ;
01;  1; 174726;BRANCO PISCINA 20X20                    ;FP;Eliane         ;01;  1;8023987;NATURAL BRANCO BR 20X20                 ;FP;DecorTiles     ;
01;  1; 174726;BRANCO PISCINA 20X20                    ;FP;Eliane         ;13; 34;8027701;BRANCO PISCINA 20X20**                  ;FP;Eliane         ;
01;  1; 174726;BRANCO PISCINA 20X20                    ;FP;Eliane         ;01;  1;8046541;BRANCO PISCINA 20X20                    ;LB;Eliane         ;
01;  1; 174726;BRANCO PISCINA 20X20                    ;FP;Eliane         ;01; 17;8047832;BRANCO PISCINA 20X20                    ;FP;Eliane         ;
01; 17; 176079;CASTANHA INTERNA BRANCO PISCINA         ;FP;Eliane         ;01;  1;8047640;CASTANHA INTERNA BRANCO PISCINA         ;FP;Eliane         ;
01; 17; 176079;CASTANHA INTERNA BRANCO PISCINA         ;FP;Eliane         ;01; 54;8056990;CASTANHA INTERNA BRANCO PISCINA         ;LB;Eliane         ;
01; 17; 176109;CASTANHA EXTERNA BRANCO PISCINA         ;FP;Eliane         ;01;  1;8047633;CASTANHA EXTERNA BRANCO PISCINA         ;FP;Eliane         ;
01; 17; 176109;CASTANHA EXTERNA BRANCO PISCINA         ;FP;Eliane         ;01; 54;8056972;CASTANHA EXTERNA BRANCO PISCINA         ;LB;Eliane         ;
01; 17; 176133;CANTO INTERNO BRANCO PISCINA            ;FP;Eliane         ;01;  1;8047679;CANTO INTERNO BRANCO PISCINA            ;FP;Eliane         ;
01; 17; 176133;CANTO INTERNO BRANCO PISCINA            ;FP;Eliane         ;01; 54;8056820;CANTO INTERNO BRANCO PISCINA            ;LB;Eliane         ;
01; 17; 176168;CANTO EXTERNO BRANCO PISCINA            ;FP;Eliane         ;01;  1;8047671;CANTO EXTERNO BRANCO PISCINA            ;FP;Eliane         ;
01; 17; 176168;CANTO EXTERNO BRANCO PISCINA            ;FP;Eliane         ;01; 54;8056800;CANTO EXTERNO BRANCO PISCINA            ;LB;Eliane         ;
01; 17; 176192;CANALETA INTERNA BRANCO PISCINA 15 *    ;FP;Eliane         ;01; 17;8034948;CANALETA INTERNA BRANCO PISCINA 2,5X15  ;FP;Eliane         ;
01; 17; 176192;CANALETA INTERNA BRANCO PISCINA 15 *    ;FP;Eliane         ;01;  1;8047757;CANALETA INTERNA BRANCO PISCINA 2,5X15  ;FP;Eliane         ;
01; 17; 176192;CANALETA INTERNA BRANCO PISCINA 15 *    ;FP;Eliane         ;01; 54;8056955;CANALETA INTERNA BRANCO PISCINA 2,5X15  ;LB;Eliane         ;
01; 17; 176222;CANALETA EXTERNA BRANCO PISCINA 15 *    ;FP;Eliane         ;13; 34;8025016;CANALETA EXTERNA BRANCO PISCINA 15 *    ;FP;Eliane         ;
01; 17; 176222;CANALETA EXTERNA BRANCO PISCINA 15 *    ;FP;Eliane         ;01; 17;8034944;CANALETA EXTERNA BRANCO PISCINA 2,5X15  ;FP;Eliane         ;
01; 17; 176222;CANALETA EXTERNA BRANCO PISCINA 15 *    ;FP;Eliane         ;13; 34;8038967;CANALETA EXTERNA BRANCO PISCINA 2,5X15  ;FP;Eliane         ;
01; 17; 176222;CANALETA EXTERNA BRANCO PISCINA 15 *    ;FP;Eliane         ;01;  1;8047756;CANALETA EXTERNA BRANCO PISCINA 2,5X15  ;FP;Eliane         ;
01; 17; 176222;CANALETA EXTERNA BRANCO PISCINA 15 *    ;FP;Eliane         ;01; 54;8056951;CANALETA EXTERNA BRANCO PISCINA 2,5X15  ;LB;Eliane         ;
01; 17; 176257;CANALETA EXTERNA BRANCO PISCINA 20 *    ;FP;Eliane         ;13; 34;8025014;CANALETA EXTERNA BRANCO PISCINA 20 *    ;FP;Eliane         ;
01; 17; 176257;CANALETA EXTERNA BRANCO PISCINA 20 *    ;FP;Eliane         ;01;  1;8047705;CANALETA EXTERNA BRANCO PISCINA 20 *    ;FP;Eliane         ;
01; 17; 176257;CANALETA EXTERNA BRANCO PISCINA 20 *    ;FP;Eliane         ;01; 54;8056836;CANALETA EXTERNA BRANCO PISCINA 20 *    ;LB;Eliane         ;
01; 17; 176281;CANALETA INTERNA BRANCO PISCINA 20 *    ;FP;Eliane         ;01;  1;8047713;CANALETA INTERNA BRANCO PISCINA 20 *    ;FP;Eliane         ;
01; 17; 176281;CANALETA INTERNA BRANCO PISCINA 20 *    ;FP;Eliane         ;01; 54;8056843;CANALETA INTERNA BRANCO PISCINA 20 *    ;LB;Eliane         ;
01;  1; 179361;EXPOSITOR BRAVACASA M. INT.      P/ME   ;LB;Eliane         ;01;  1; 180319;EXPOSITOR BRAVACASA M. INT.             ;FP;Eliane         ;
01;  1; 179426;EXPOSITOR ILLUSIONE 4 APINEIS      P/ME ;LB;Eliane         ;01;  1; 180343;EXPOSITOR ILLUSIONE 4 PAINEIS           ;FP;Eliane         ;
01;  1; 179442;CARRINHO PORTA PLACA              P/ME  ;LB;Eliane         ;01;  1; 180351;CARRINHO PORTA PLACA                    ;FP;Eliane         ;
01;  1; 180661;METRO WHITE                             ;LB;Eliane         ;01;  1;8011796;RETRO BRANCO 10X20                      ;FP;Eliane         ;
01;  1; 180661;METRO WHITE                             ;LB;Eliane         ;13; 34;8036332;METRO WHITE                             ;LB;Eliane         ;
01;  1; 180661;METRO WHITE                             ;LB;Eliane         ;01;  1;8052094;METRO WHITE BR 10X20*                   ;LB;Eliane         ;
01;  1; 180661;METRO WHITE                             ;LB;Eliane         ;01;  1;8062424;SIGNATURE BIANCO GLOSS 10X20 BEVEL      ;LB;DecorTiles     ;
01;  1; 190420;METRO BLACK 10X20                       ;LB;Eliane         ;01;  1;8011797;RETRO BLACK 10X20                       ;FP;Eliane         ;
01;  1; 190420;METRO BLACK 10X20                       ;LB;Eliane         ;01;  1;8022344;STONES 10X20                            ;FP;DecorTiles     ;
01;  1; 190420;METRO BLACK 10X20                       ;LB;Eliane         ;01;  1;8028941;STONES 10X20                            ;FP;DecorTiles     ;
01;  1; 190420;METRO BLACK 10X20                       ;LB;Eliane         ;13; 34;8037784;METRO BLACK 10X20#                      ;LB;Eliane         ;
01;  1; 190420;METRO BLACK 10X20                       ;LB;Eliane         ;01;  1;8052096;METRO BLACK BR 10X20*                   ;LB;Eliane         ;
01; 63; 322504;CAR PL 22 WH 45X45*                     ;FP;Eliane         ;01; 63;8008521;CAR PL 22 WH 45X45*                     ;FP;Eliane         ;
01; 63; 322504;CAR PL 22 WH 45X45*                     ;FP;Eliane         ;13;  1;8015308;CARGO PLUS WHITE 45X45                  ;FP;Eliane         ;
01; 63; 322504;CAR PL 22 WH 45X45*                     ;FP;Eliane         ;13;  1;8015761;CAR PL 22 WH 45X45                      ;FP;Eliane         ;
01; 63; 322504;CAR PL 22 WH 45X45*                     ;FP;Eliane         ;01; 63;8019398;CARGO PLUS WHITE 45x45#                 ;FP;Eliane         ;
01; 63; 322504;CAR PL 22 WH 45X45*                     ;FP;Eliane         ;13;  1;8019477;CARGO PLUS WHITE 45X45*                 ;FP;Eliane         ;
01; 63; 322504;CAR PL 22 WH 45X45*                     ;FP;Eliane         ;13;  1;8019515;CAR PL 22 WH 45X45                      ;FP;Eliane         ;
01; 63; 322504;CAR PL 22 WH 45X45*                     ;FP;Eliane         ;01; 63;8019554;CAR PL 22 WH 45x45#                     ;FP;Eliane         ;
01; 63; 322504;CAR PL 22 WH 45X45*                     ;FP;Eliane         ;01; 63;8028531;CARGO PLUS WHITE 45x45##                ;FP;Eliane         ;
01; 63; 322504;CAR PL 22 WH 45X45*                     ;FP;Eliane         ;13;  1;8030427;CARGO PLUS WHITE 45X45*                 ;FP;Eliane         ;
01; 63; 322504;CAR PL 22 WH 45X45*                     ;FP;Eliane         ;01; 63;8040849;CARGO PLUS WHITE 45X45#                 ;LB;Eliane         ;
01; 63; 322504;CAR PL 22 WH 45X45*                     ;FP;Eliane         ;13;  1;8044805;CARGO PLUS WHITE 45X45                  ;LB;Eliane         ;
