Item Fundo;Descricao;Med;Sit;Seq;Seq Alt;Dt ini val;Dt fim val;Item;Desc;Sit;Med;Emb;Desc.Emb;;;;
321729;BECAGLI II BIANCO 45x45*;m2;FP;10;0;02/03/2007;30/12/2050;317055;BECAGLI II BIANCO RODAPE 8,5X45;FP;pc;5250560;EMB.PAP.OND.3Q.8,5X45 RODAPE MONOQUEIMA;5402620;EMB.PAP.OND.45X45 ELIANE III;;
146404;ALMOND UNIV./III;pc;FP;30;0;01/07/2003;30/12/2050;146609;ALMOND UNIV./III*;FP;pc;9226250;EMB.PAP.OND.FILETE *III MED.340X320X160;9227713;EMB CX DUPLEX C/MICROACOPLADO PLASTIFICA;;
146404;ALMOND UNIV./III;pc;FP;40;0;03/07/2002;30/12/2050;163910;ALMOND UNIV./III /BL;FP;pc;5017769;EMB.PAP.OND.03X30 MAE BLISTER;9235620;BOLHA P/EMB. PE 3 X 28 (3CAMADAS DE 2;9235647;CARTELA P/FILLETE MED.3 X 28 CM
146412;BONE UNIV./III;pc;FP;30;0;01/07/2003;30/12/2050;163929;BONE UNIV./III /BL;FP;pc;5017769;EMB.PAP.OND.03X30 MAE BLISTER;9235620;BOLHA P/EMB. PE 3 X 28 (3CAMADAS DE 2;9235647;CARTELA P/FILLETE MED.3 X 28 CM
146439;COBALT UNIV./III;pc;FP;40;0;01/07/2003;30/12/2050;146633;COBALT UNIV./III*;FP;pc;9226250;EMB.PAP.OND.FILETE *III MED.340X320X160;9227713;EMB CX DUPLEX C/MICROACOPLADO PLASTIFICA;;
146439;COBALT UNIV./III;pc;FP;40;0;03/07/2002;30/12/2050;163937;COBALT UNIV./III /BL;FP;pc;5017769;EMB.PAP.OND.03X30 MAE BLISTER;9235620;BOLHA P/EMB. PE 3 X 28 (3CAMADAS DE 2;9235647;CARTELA P/FILLETE MED.3 X 28 CM
146439;COBALT UNIV./III;pc;FP;2;0;18/06/1998;30/12/2050;1015230;PAINEL AZ3030/028;FP;pc;;;;;;
146439;COBALT UNIV./III;pc;FP;2;0;18/06/1998;30/12/2050;1015516;PAINEL AZ3030/056;FP;pc;;;;;;
146439;COBALT UNIV./III;pc;FP;2;0;16/06/1998;30/12/2050;1016466;PAINEL AZ3345/019;FP;pc;;;;;;
146447;EBANO UNIV./III;pc;FP;40;0;03/07/2002;30/12/2050;163538;EBANO UNIV./III /BL;FP;pc;5017769;EMB.PAP.OND.03X30 MAE BLISTER;9235620;BOLHA P/EMB. PE 3 X 28 (3CAMADAS DE 2;9235647;CARTELA P/FILLETE MED.3 X 28 CM
