Unidade Pai;CodigoOriginal;DescricaoOriginal;SituacaoOriginal;UnOriginal;TipologiaOriginal;Item Fundo;SituacaoFundo;ClonesLista;PrensadoRevisado
Eliane Parana;602973;XXXXXXXXXXXXXXXXX;FP;m2;Sem Tipologia;8025181;FP;[];Nao
ARGAMAS. MATRIZ;1404849;TESTE;FP;m2;BIQUEIMA;;;[];Nao
ARGAMAS. MATRIZ;1403826;JUNTAPLUS EPOXI SP-100 CHUMBO 5,4kg*P/ME;FP;um;OUTRA;;;[];Nao
Pecas Especiais;8008174;"S 4289-ANDORRA WHITE-2""X8""";FP;pc;MONOPOROSA;;;[];Nao
SC 3;315990;CLASSIC WHITE RODAPE 31;FP;pc;MONOQUEIMA;315915;FP;[];Nao
Pecas Especiais;161454;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;FP;pc;Sem Tipologia;;;[];Nao
SC 4;8008607;ESSENCE ROSSO RS 50;FP;pc;PORC UGL;469297;FP;[];Nao
BACK TO BACK;8024775;BETON GLASS LISTELLO;FP;pc;OUTRA;;;[];Nao
BACK TO BACK;8024776;MOSAICO GEO-GLASS BISCOTTO;FP;pc;OUTRA;;;[];Nao
BACK TO BACK;8024774;MOSAICO GEO-GLASS CHIARO;FP;pc;OUTRA;;;[];Nao
BACK TO BACK;8024777;SARDEGNA MULTI LISTELLO;FP;pc;OUTRA;;;[];Nao
BACK TO BACK;8024773;SEDONA MULTICOLOR MOSAIC;FP;pc;OUTRA;;;[];Nao
BACK TO BACK;8025580;MOSAICO GEO-GLASS SNOW WHITE 8X30;FP;PC;OUTRA;;;[];Nao
ARGAMAS. MATRIZ;1401629;BALDE PLAST. BRCO C/ALCA P/4KG - PISCINA;FP;pc;Sem Tipologia;;;[];Nao
ARGAMAS. MATRIZ;1401610;BALDE PLASTICO COR BRANCA C/TAMPA S/BOCA;FP;pc;Sem Tipologia;;;[];Nao
ELIANE NEG;8016907;POLISSULFETO - SELANTE;FP;PC;Sem Tipologia;;;[];Nao
Out. Intern. SC;8016972;POLISSULFETO - SELANTE;FP;PC;OUTRA;;;[];Nao
Out. Intern. SC;8020054;xxxxxPOLISSULFETO - SELANTE;FP;PC;Sem Tipologia;;;[];Nao
SC 1;182150;CASA WHITE/VI 2x33,5;FP;pc;MONOPOROSA;182508;FP;[];Nao
ELIANE NEG;8016906;POLISSULFETO - SELANTE;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1460714;SELAFACIL BEGE CX 12UN              P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1460153;SELAFACIL BRANCO CX 12UN            P/ME;FP;CX;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1460722;SELAFACIL CAFE CX 12UN              P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1460730;SELAFACIL CINZA CX 12UN             P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1460161;SELAFACIL MARFIM CX 12UN            P/ME;FP;CX;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1461400;SELAFACIL MS INCOLOR CX 12UN        P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1460749;SELAFACIL PESSEGO CX 12UN           P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1460757;SELAFACIL PRETO CX 12UN             P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1460765;SELAFACIL SALMON CX 12UN            P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1460773;SELAFACIL VERDE CX 12UN             P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1460790;SELAFACIL BEGE SACHE 600ml-CX 20UN  P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1461486;SELAFACIL BRANCO SACHE 600ml-CX 20UNP/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1461494;SELAFACIL CAFE SACHE 600ml-CX 20UN  P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1461508;SELAFACIL CINZA SACHE 600ml-CX 20UN P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1461516;SELAFACIL MARFIM SACHE 600ml-CX 20UNP/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1461419;SELAFACIL MS BRANCO SACHE600ml-CX20UN ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1461427;SELAFACIL MS INCOL.SACHE 600ml-CX20UN ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1461524;SELAFACIL PESSEGO SACHE 600ml-CX20UNP/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1461532;SELAFACIL PRETO SACHE 600ml-CX 20UN P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1461540;SELAFACIL SALMON SACHE 600ml-CX20UN P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS-EXP;1461559;SELAFACIL VERDE SACHE 600ml-CX 20UN P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS;8016596;SELAFACIL BEGE CX 12UN              P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS;8016566;SELAFACIL BRANCO CX 12UN            P/ME;FP;CX;OUTRA;;;[];Nao
ARGAMASSAS;8016597;SELAFACIL CAFE CX 12UN              P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS;8016598;SELAFACIL CINZA CX 12UN             P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS;8016970;SELAFACIL MARFIM CX 12UN P/ME;FP;cx;OUTRA;;;[];Nao
ARGAMASSAS;8016971;SELAFACIL MARROM CX 12UN P/ME;FP;cx;OUTRA;;;[];Nao
